prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,cluster
0.94207763671875,0.3359375,0.4510010537407797,0.5941176470588235,0
0.88250732421875,0.2578125,0.5516883116883117,0.5789473684210527,0
0.87158203125,0.26171875,0.5,0.4973544973544973,0
0.9859619140625,0.328125,0.3695652173913043,0.5465116279069767,2
0.85357666015625,0.3046875,0.516048353480617,0.5337078651685393,0
0.85205078125,0.296875,0.5103135313531353,0.5611111111111111,0
0.93414306640625,0.36328125,0.4652455977757183,0.5214723926380368,2
0.883544921875,0.3203125,0.4596436058700209,0.5287356321839081,2
0.88623046875,0.21875,0.6233905579399142,0.61,1
0.86212158203125,0.234375,0.5245683930942895,0.4795918367346938,0
0.92034912109375,0.3359375,0.5478927203065134,0.4823529411764706,2
0.98101806640625,0.3203125,0.427652733118971,0.5,2
0.92913818359375,0.34375,0.4504737295434969,0.5238095238095238,2
0.8658447265625,0.26953125,0.5036396724294814,0.5187165775401069,0
0.85552978515625,0.24609375,0.492184199408534,0.5544041450777202,0
0.970703125,0.4375,0.4895833333333333,0.4930555555555556,2
0.85235595703125,0.31640625,0.4911120297643654,0.4857142857142857,0
0.85723876953125,0.296875,0.4873877725523728,0.5222222222222223,0
0.938720703125,0.37109375,0.4292828685258964,0.5279503105590062,2
0.85504150390625,0.28515625,0.5191578947368422,0.5027322404371585,0
0.87969970703125,0.28125,0.5038051750380518,0.5489130434782609,0
0.854736328125,0.27734375,0.488235294117647,0.5297297297297298,0
0.9378662109375,0.3671875,0.5098231827111984,0.4814814814814814,2
0.8753662109375,0.30078125,0.5142017629774731,0.5195530726256983,0
0.84967041015625,0.23828125,0.4591961023142509,0.5487179487179488,0
0.9234619140625,0.3515625,0.4330143540669856,0.4939759036144578,2
0.97265625,0.3203125,0.3995535714285714,0.4942528735632184,2
0.9471435546875,0.34375,0.4480369515011547,0.4880952380952381,2
0.8773193359375,0.21484375,0.5044776119402985,0.572139303482587,0
0.84832763671875,0.24609375,0.5199195171026157,0.5595854922279793,0
0.89398193359375,0.3203125,0.5100748416810593,0.4770114942528735,0
0.96588134765625,0.3359375,0.4722719141323792,0.4470588235294118,2
0.96807861328125,0.46484375,0.3804971319311663,0.5109489051094891,2
0.878173828125,0.21484375,0.501002004008016,0.5970149253731343,0
0.92437744140625,0.31640625,0.4874899112187247,0.5657142857142857,0
0.95733642578125,0.3828125,0.334763948497854,0.4430379746835443,2
0.85821533203125,0.23828125,0.4924666379681446,0.5846153846153846,0
0.914306640625,0.359375,0.4893162393162393,0.4695121951219512,2
0.9940185546875,0.359375,0.0,0.4512195121951219,3
0.93609619140625,0.38671875,0.5291308500477555,0.5095541401273885,2
0.8868408203125,0.265625,0.5738942826321467,0.574468085106383,0
0.96246337890625,0.37109375,0.465040650406504,0.546583850931677,2
0.8927001953125,0.3125,0.4681456200227531,0.5113636363636364,2
