no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,WT_CIFAR_IMP76_0
0,0,0,dense2,WT_CIFAR_IMP76_0
0,0,0,dense1,WT_CIFAR_IMP76_1
0,0,0,dense2,WT_CIFAR_IMP76_1
0,0,0,dense1,WT_CIFAR_IMP76_2
0,0,0,dense2,WT_CIFAR_IMP76_2
0,0,0,dense1,WT_CIFAR_IMP76_3
0,0,0,dense2,WT_CIFAR_IMP76_3
0,0,0,dense1,WT_CIFAR_IMP76_4
0,0,0,dense2,WT_CIFAR_IMP76_4
0,0,0,dense1,WT_CIFAR_IMP76_5
0,0,0,dense2,WT_CIFAR_IMP76_5
0,0,0,dense1,WT_CIFAR_IMP76_6
0,0,0,dense2,WT_CIFAR_IMP76_6
0,0,0,dense1,WT_CIFAR_IMP76_7
0,0,0,dense2,WT_CIFAR_IMP76_7
0,0,0,dense1,WT_CIFAR_IMP76_8
0,0,0,dense2,WT_CIFAR_IMP76_8
0,0,0,dense1,WT_CIFAR_IMP76_9
0,0,0,dense2,WT_CIFAR_IMP76_9
