pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
754,89,976,91,0.8944091796875,0.296875,0.43583815028901735,0.49444444444444446,dense1
577,96,551,92,0.93115234375,0.265625,0.5115248226950354,0.5106382978723404,dense1
27,120,41,98,0.995849609375,0.1484375,0.39705882352941174,0.5504587155963303,dense1
776,100,898,85,0.8978271484375,0.27734375,0.4635603345280765,0.5405405405405406,dense1
379,97,578,90,0.94158935546875,0.26953125,0.3960292580982236,0.5187165775401069,dense1
1102,99,1010,101,0.87109375,0.21875,0.521780303030303,0.495,dense1
1032,116,932,84,0.880126953125,0.21875,0.5254582484725051,0.58,dense1
1223,95,1171,91,0.8538818359375,0.2734375,0.5108604845446951,0.510752688172043,dense1
16,106,409,103,0.97406005859375,0.18359375,0.03764705882352941,0.507177033492823,dense1
1339,105,1135,102,0.8489990234375,0.19140625,0.5412287793047696,0.5072463768115942,dense1
5,102,582,103,0.96417236328125,0.19921875,0.008517887563884156,0.4975609756097561,dense1
1254,120,703,90,0.88055419921875,0.1796875,0.6407766990291263,0.5714285714285714,dense1
989,93,1051,107,0.87548828125,0.21875,0.48480392156862745,0.465,dense1
1235,89,1216,112,0.85040283203125,0.21484375,0.5038759689922481,0.4427860696517413,dense1
725,86,775,99,0.908447265625,0.27734375,0.48333333333333334,0.4648648648648649,dense1
1234,100,1312,98,0.8446044921875,0.2265625,0.4846818538884525,0.5050505050505051,dense1
1421,122,793,91,0.8648681640625,0.16796875,0.6418247515808492,0.5727699530516432,dense1
1086,105,1019,105,0.87152099609375,0.1796875,0.5159144893111639,0.5,dense1
1600,97,1543,100,0.80816650390625,0.23046875,0.5090677696468342,0.49238578680203043,dense1
318,105,487,96,0.95086669921875,0.21484375,0.3950310559006211,0.5223880597014925,dense1
386,101,418,93,0.950927734375,0.2421875,0.48009950248756217,0.520618556701031,dense1
1175,110,790,92,0.88006591796875,0.2109375,0.5979643765903307,0.5445544554455446,dense1
615,93,803,99,0.9134521484375,0.25,0.43370944992947813,0.484375,dense1
23,92,42,114,0.99603271484375,0.1953125,0.35384615384615387,0.44660194174757284,dense1
1044,98,904,101,0.881103515625,0.22265625,0.5359342915811088,0.49246231155778897,dense1
1212,110,1032,102,0.863037109375,0.171875,0.5401069518716578,0.5188679245283019,dense1
1119,116,886,97,0.87762451171875,0.16796875,0.5581047381546135,0.5446009389671361,dense1
1364,106,1343,101,0.83477783203125,0.19140625,0.5038788326560768,0.5120772946859904,dense1
445,93,570,87,0.93804931640625,0.296875,0.43842364532019706,0.5166666666666667,dense1
568,95,674,89,0.9241943359375,0.28125,0.4573268921095008,0.5163043478260869,dense1
1136,97,956,100,0.872314453125,0.23046875,0.5430210325047801,0.49238578680203043,dense1
1123,112,879,97,0.8778076171875,0.18359375,0.560939060939061,0.5358851674641149,dense1
530,98,702,86,0.9248046875,0.28125,0.4301948051948052,0.532608695652174,dense1
1200,111,1143,105,0.85699462890625,0.15625,0.5121638924455826,0.5138888888888888,dense1
1237,101,1136,105,0.85516357421875,0.1953125,0.5212810788032027,0.49029126213592233,dense1
1315,104,1152,99,0.84942626953125,0.20703125,0.5330360762059181,0.5123152709359606,dense1
1279,93,1231,103,0.8468017578125,0.234375,0.5095617529880478,0.4744897959183674,dense1
1337,114,1336,81,0.83685302734375,0.23828125,0.5001870557426114,0.5846153846153846,dense1
809,92,878,87,0.89703369140625,0.30078125,0.47954949614700654,0.5139664804469274,dense1
1213,107,1037,101,0.8626708984375,0.1875,0.5391111111111111,0.5144230769230769,dense1
1331,113,933,90,0.86181640625,0.20703125,0.5878975265017667,0.5566502463054187,dense1
1374,81,1475,99,0.82611083984375,0.296875,0.4822744822744823,0.45,dense1
1136,113,1102,90,0.8634033203125,0.20703125,0.5075960679177838,0.5566502463054187,dense1
914,102,888,85,0.8900146484375,0.26953125,0.5072142064372919,0.5454545454545454,dense1
