no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,WT_CIFAR_IMP51_0
0,0,0,dense2,WT_CIFAR_IMP51_0
0,0,0,dense1,WT_CIFAR_IMP51_1
0,0,0,dense2,WT_CIFAR_IMP51_1
0,0,0,dense1,WT_CIFAR_IMP51_2
0,0,0,dense2,WT_CIFAR_IMP51_2
0,0,0,dense1,WT_CIFAR_IMP51_3
0,0,0,dense2,WT_CIFAR_IMP51_3
0,0,0,dense1,WT_CIFAR_IMP51_4
0,0,0,dense2,WT_CIFAR_IMP51_4
0,0,0,dense1,WT_CIFAR_IMP51_5
0,0,0,dense2,WT_CIFAR_IMP51_5
0,0,0,dense1,WT_CIFAR_IMP51_6
0,0,0,dense2,WT_CIFAR_IMP51_6
0,0,0,dense1,WT_CIFAR_IMP51_7
0,0,0,dense2,WT_CIFAR_IMP51_7
0,0,0,dense1,WT_CIFAR_IMP51_8
0,0,0,dense2,WT_CIFAR_IMP51_8
0,0,0,dense1,WT_CIFAR_IMP51_9
0,0,0,dense2,WT_CIFAR_IMP51_9
