no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,WT_CIFAR_IMP88_0
0,0,0,dense2,WT_CIFAR_IMP88_0
0,0,0,dense1,WT_CIFAR_IMP88_1
0,0,0,dense2,WT_CIFAR_IMP88_1
8,0,0,dense1,WT_CIFAR_IMP88_2
0,0,0,dense2,WT_CIFAR_IMP88_2
8,0,0,dense1,WT_CIFAR_IMP88_3
0,0,0,dense2,WT_CIFAR_IMP88_3
0,0,0,dense1,WT_CIFAR_IMP88_4
0,0,0,dense2,WT_CIFAR_IMP88_4
11,0,0,dense1,WT_CIFAR_IMP88_5
0,0,0,dense2,WT_CIFAR_IMP88_5
0,0,0,dense1,WT_CIFAR_IMP88_6
0,0,0,dense2,WT_CIFAR_IMP88_6
0,0,0,dense1,WT_CIFAR_IMP88_7
0,0,0,dense2,WT_CIFAR_IMP88_7
15,0,0,dense1,WT_CIFAR_IMP88_8
0,0,0,dense2,WT_CIFAR_IMP88_8
14,0,0,dense1,WT_CIFAR_IMP88_9
0,0,0,dense2,WT_CIFAR_IMP88_9
