pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
100,102,194,69,0.9820556640625,0.33203125,0.3401360544217687,0.5964912280701754,dense1
187,88,220,81,0.97515869140625,0.33984375,0.4594594594594595,0.5207100591715976,dense1
125,93,110,83,0.98565673828125,0.3125,0.5319148936170213,0.5284090909090909,dense1
175,85,191,82,0.9776611328125,0.34765625,0.4781420765027322,0.5089820359281437,dense1
171,74,186,78,0.97821044921875,0.40625,0.4789915966386555,0.4868421052631579,dense1
230,85,160,100,0.9761962890625,0.27734375,0.5897435897435898,0.4594594594594595,dense1
143,89,163,87,0.9813232421875,0.3125,0.4673202614379085,0.5056818181818182,dense1
153,75,188,87,0.97918701171875,0.3671875,0.44868035190615835,0.46296296296296297,dense1
156,101,149,74,0.98138427734375,0.31640625,0.5114754098360655,0.5771428571428572,dense1
60,91,116,71,0.9892578125,0.3671875,0.3409090909090909,0.5617283950617284,dense1
124,109,92,78,0.98681640625,0.26953125,0.5740740740740741,0.5828877005347594,dense1
249,83,285,91,0.9674072265625,0.3203125,0.46629213483146065,0.47701149425287354,dense1
115,81,85,77,0.98779296875,0.3828125,0.575,0.5126582278481012,dense1
162,83,222,86,0.9765625,0.33984375,0.421875,0.4911242603550296,dense1
189,104,124,76,0.98089599609375,0.296875,0.6038338658146964,0.5777777777777777,dense1
193,121,39,76,0.98583984375,0.23046875,0.8318965517241379,0.6142131979695431,dense1
27,70,45,77,0.99560546875,0.42578125,0.375,0.47619047619047616,dense1
182,92,155,86,0.97943115234375,0.3046875,0.5400593471810089,0.5168539325842697,dense1
119,91,112,77,0.98590087890625,0.34375,0.5151515151515151,0.5416666666666666,dense1
187,90,206,81,0.97601318359375,0.33203125,0.4758269720101781,0.5263157894736842,dense1
120,101,115,74,0.98565673828125,0.31640625,0.5106382978723404,0.5771428571428572,dense1
173,78,198,88,0.97735595703125,0.3515625,0.46630727762803237,0.46987951807228917,dense1
201,80,168,89,0.97747802734375,0.33984375,0.5447154471544715,0.47337278106508873,dense1
147,99,64,84,0.98712158203125,0.28515625,0.6966824644549763,0.5409836065573771,dense1
259,78,269,90,0.9677734375,0.34375,0.49053030303030304,0.4642857142857143,dense1
203,105,208,78,0.97491455078125,0.28515625,0.49391727493917276,0.5737704918032787,dense1
131,105,96,74,0.98614501953125,0.30078125,0.5770925110132159,0.5865921787709497,dense1
150,107,128,74,0.9830322265625,0.29296875,0.539568345323741,0.5911602209944752,dense1
140,97,197,83,0.97943115234375,0.296875,0.41543026706231456,0.5388888888888889,dense1
72,73,88,70,0.990234375,0.44140625,0.45,0.5104895104895105,dense1
174,112,123,66,0.98187255859375,0.3046875,0.5858585858585859,0.6292134831460674,dense1
162,76,221,85,0.97662353515625,0.37109375,0.42297650130548303,0.4720496894409938,dense1
152,96,143,80,0.98199462890625,0.3125,0.5152542372881356,0.5454545454545454,dense1
153,90,143,90,0.98193359375,0.296875,0.5168918918918919,0.5,dense1
142,90,63,89,0.98748779296875,0.30078125,0.6926829268292682,0.5027932960893855,dense1
100,74,138,87,0.9854736328125,0.37109375,0.42016806722689076,0.45962732919254656,dense1
113,81,115,96,0.986083984375,0.30859375,0.4956140350877193,0.4576271186440678,dense1
