pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
222,103,1102,97,0.919189453125,0.21875,0.16767371601208458,0.515,dense1
369,114,818,91,0.92755126953125,0.19921875,0.3108677337826453,0.5560975609756098,dense1
1790,97,1794,105,0.78125,0.2109375,0.4994419642857143,0.4801980198019802,dense1
860,94,962,99,0.8887939453125,0.24609375,0.47200878155872666,0.48704663212435234,dense1
1255,103,1203,81,0.8499755859375,0.28125,0.5105777054515866,0.5597826086956522,dense1
1889,90,1846,99,0.77203369140625,0.26171875,0.505756358768407,0.47619047619047616,dense1
659,91,1059,108,0.8951416015625,0.22265625,0.38358556461001164,0.457286432160804,dense1
600,93,970,92,0.9041748046875,0.27734375,0.3821656050955414,0.5027027027027027,dense1
261,111,1592,104,0.88690185546875,0.16015625,0.14085267134376686,0.5162790697674419,dense1
1699,99,1540,111,0.80230712890625,0.1796875,0.524544612534733,0.4714285714285714,dense1
1722,115,1279,101,0.81683349609375,0.15625,0.5738087304231922,0.5324074074074074,dense1
671,106,927,85,0.9024658203125,0.25390625,0.41989987484355445,0.5549738219895288,dense1
661,111,917,108,0.9036865234375,0.14453125,0.4188846641318124,0.5068493150684932,dense1
1949,114,1910,96,0.76446533203125,0.1796875,0.5050531225706142,0.5428571428571428,dense1
1643,116,1588,84,0.80279541015625,0.21875,0.5085112968121325,0.58,dense1
601,97,886,101,0.90924072265625,0.2265625,0.4041694687289845,0.4898989898989899,dense1
1851,94,1852,110,0.77398681640625,0.203125,0.49986497434512556,0.46078431372549017,dense1
1741,99,1629,100,0.7943115234375,0.22265625,0.5166172106824926,0.49748743718592964,dense1
1149,94,1330,97,0.84869384765625,0.25390625,0.463493344090359,0.49214659685863876,dense1
1654,114,1575,100,0.80291748046875,0.1640625,0.5122328894394549,0.5327102803738317,dense1
2052,124,1057,85,0.81024169921875,0.18359375,0.6600192988099067,0.5933014354066986,dense1
1718,123,1618,92,0.79638671875,0.16015625,0.5149880095923262,0.5720930232558139,dense1
1934,120,1246,93,0.805908203125,0.16796875,0.6081761006289308,0.5633802816901409,dense1
793,102,923,85,0.895263671875,0.26953125,0.4621212121212121,0.5454545454545454,dense1
1982,101,1965,117,0.75909423828125,0.1484375,0.5021535343298708,0.463302752293578,dense1
1935,106,1801,107,0.77197265625,0.16796875,0.517933618843683,0.49765258215962443,dense1
587,87,913,102,0.908447265625,0.26171875,0.3913333333333333,0.4603174603174603,dense1
1565,103,1552,108,0.80975341796875,0.17578125,0.5020853384664742,0.4881516587677725,dense1
1742,101,1653,104,0.79278564453125,0.19921875,0.5131075110456553,0.4926829268292683,dense1
1790,108,1704,85,0.7867431640625,0.24609375,0.5123068116771609,0.5595854922279793,dense1
1575,109,1547,95,0.8094482421875,0.203125,0.5044843049327354,0.5343137254901961,dense1
522,107,1068,90,0.9029541015625,0.23046875,0.3283018867924528,0.5431472081218274,dense1
1855,102,1818,95,0.77581787109375,0.23046875,0.5050367546964334,0.5177664974619289,dense1
850,87,1008,94,0.8865966796875,0.29296875,0.45748116254036597,0.48066298342541436,dense1
843,115,771,101,0.9014892578125,0.15625,0.5223048327137546,0.5324074074074074,dense1
1792,105,1628,106,0.791259765625,0.17578125,0.5239766081871345,0.4976303317535545,dense1
1768,103,1448,112,0.8037109375,0.16015625,0.5497512437810945,0.4790697674418605,dense1
411,99,1388,115,0.89019775390625,0.1640625,0.22846025569760978,0.46261682242990654,dense1
663,94,840,98,0.90826416015625,0.25,0.4411177644710579,0.4895833333333333,dense1
1825,96,1903,101,0.7724609375,0.23046875,0.4895386266094421,0.4873096446700508,dense1
1691,105,1658,96,0.79559326171875,0.21484375,0.5049268438339803,0.5223880597014925,dense1
411,112,1308,102,0.89508056640625,0.1640625,0.23909249563699825,0.5233644859813084,dense1
1947,108,1803,92,0.7711181640625,0.21875,0.5192,0.54,dense1
832,87,900,104,0.894287109375,0.25390625,0.48036951501154734,0.45549738219895286,dense1
1764,96,1393,98,0.80731201171875,0.2421875,0.5587583148558758,0.4948453608247423,dense1
1785,115,1847,99,0.7783203125,0.1640625,0.4914647577092511,0.5373831775700935,dense1
1092,98,1218,87,0.8590087890625,0.27734375,0.4727272727272727,0.5297297297297298,dense1
692,99,952,84,0.899658203125,0.28515625,0.4209245742092457,0.5409836065573771,dense1
1793,108,1683,106,0.787841796875,0.1640625,0.5158227848101266,0.5046728971962616,dense1
832,72,1019,106,0.88702392578125,0.3046875,0.44948676391139925,0.4044943820224719,dense1
895,95,1290,91,0.86663818359375,0.2734375,0.4096109839816934,0.510752688172043,dense1
1141,114,849,89,0.8785400390625,0.20703125,0.5733668341708543,0.5615763546798029,dense1
1860,119,1364,84,0.80322265625,0.20703125,0.5769230769230769,0.5862068965517241,dense1
698,106,816,97,0.9075927734375,0.20703125,0.4610303830911493,0.5221674876847291,dense1
430,100,1012,93,0.9119873046875,0.24609375,0.29819694868238555,0.5181347150259067,dense1
