no_incomming,no_outgoing,no_total_conncetions,layer,model
10,0,0,dense1,WT_CIFAR_IMP96_0
0,0,0,dense2,WT_CIFAR_IMP96_0
13,0,0,dense1,WT_CIFAR_IMP96_1
0,0,0,dense2,WT_CIFAR_IMP96_1
8,0,0,dense1,WT_CIFAR_IMP96_2
0,0,0,dense2,WT_CIFAR_IMP96_2
12,0,0,dense1,WT_CIFAR_IMP96_3
0,0,0,dense2,WT_CIFAR_IMP96_3
3,0,0,dense1,WT_CIFAR_IMP96_4
0,0,0,dense2,WT_CIFAR_IMP96_4
15,0,0,dense1,WT_CIFAR_IMP96_5
0,0,0,dense2,WT_CIFAR_IMP96_5
12,0,0,dense1,WT_CIFAR_IMP96_6
0,0,0,dense2,WT_CIFAR_IMP96_6
3,0,0,dense1,WT_CIFAR_IMP96_7
0,0,0,dense2,WT_CIFAR_IMP96_7
21,0,0,dense1,WT_CIFAR_IMP96_8
0,0,0,dense2,WT_CIFAR_IMP96_8
23,0,0,dense1,WT_CIFAR_IMP96_9
0,0,0,dense2,WT_CIFAR_IMP96_9
