no_incomming,no_outgoing,no_total_conncetions,layer,model
9,0,0,dense1,WT_CIFAR_IMP92_0
0,0,0,dense2,WT_CIFAR_IMP92_0
7,0,0,dense1,WT_CIFAR_IMP92_1
0,0,0,dense2,WT_CIFAR_IMP92_1
8,0,0,dense1,WT_CIFAR_IMP92_2
0,0,0,dense2,WT_CIFAR_IMP92_2
12,0,0,dense1,WT_CIFAR_IMP92_3
0,0,0,dense2,WT_CIFAR_IMP92_3
2,0,0,dense1,WT_CIFAR_IMP92_4
0,0,0,dense2,WT_CIFAR_IMP92_4
15,0,0,dense1,WT_CIFAR_IMP92_5
0,0,0,dense2,WT_CIFAR_IMP92_5
6,0,0,dense1,WT_CIFAR_IMP92_6
0,0,0,dense2,WT_CIFAR_IMP92_6
3,0,0,dense1,WT_CIFAR_IMP92_7
0,0,0,dense2,WT_CIFAR_IMP92_7
21,0,0,dense1,WT_CIFAR_IMP92_8
0,0,0,dense2,WT_CIFAR_IMP92_8
23,0,0,dense1,WT_CIFAR_IMP92_9
0,0,0,dense2,WT_CIFAR_IMP92_9
