pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
1198,116,1274,83,0.84912109375,0.22265625,0.48462783171521034,0.5829145728643216,dense1
1131,99,1134,98,0.86175537109375,0.23046875,0.49933774834437084,0.5025380710659898,dense1
1014,110,987,97,0.87786865234375,0.19140625,0.5067466266866567,0.5314009661835749,dense1
1106,94,1029,102,0.86968994140625,0.234375,0.5180327868852459,0.47959183673469385,dense1
879,85,963,98,0.8875732421875,0.28515625,0.4771986970684039,0.4644808743169399,dense1
1230,91,1105,119,0.85748291015625,0.1796875,0.5267665952890792,0.43333333333333335,dense1
1043,103,1081,99,0.870361328125,0.2109375,0.4910546139359699,0.5099009900990099,dense1
1106,93,1092,111,0.8658447265625,0.203125,0.5031847133757962,0.45588235294117646,dense1
773,110,694,83,0.91046142578125,0.24609375,0.5269256987048399,0.5699481865284974,dense1
414,104,608,82,0.9376220703125,0.2734375,0.4050880626223092,0.5591397849462365,dense1
1031,115,852,87,0.88507080078125,0.2109375,0.54753053637812,0.5693069306930693,dense1
1309,93,1342,105,0.83819580078125,0.2265625,0.49377593360995853,0.4696969696969697,dense1
504,88,541,88,0.93621826171875,0.3125,0.48229665071770333,0.5,dense1
1161,94,1228,100,0.85418701171875,0.2421875,0.48597739640016746,0.4845360824742268,dense1
1104,117,967,84,0.87359619140625,0.21484375,0.5330758087880251,0.582089552238806,dense1
1174,133,607,83,0.89129638671875,0.15625,0.6591802358225716,0.6157407407407407,dense1
211,94,429,109,0.9609375,0.20703125,0.3296875,0.4630541871921182,dense1
1091,106,1141,92,0.86376953125,0.2265625,0.48879928315412186,0.5353535353535354,dense1
587,105,687,87,0.9222412109375,0.25,0.46075353218210363,0.546875,dense1
1087,95,1094,96,0.86688232421875,0.25390625,0.49839523154516274,0.4973821989528796,dense1
984,117,890,83,0.8856201171875,0.21875,0.5250800426894343,0.585,dense1
1278,89,1173,101,0.85040283203125,0.2578125,0.5214198286413708,0.46842105263157896,dense1
1304,88,1140,103,0.850830078125,0.25390625,0.5335515548281505,0.4607329842931937,dense1
1079,115,787,98,0.8861083984375,0.16796875,0.5782422293676313,0.539906103286385,dense1
1311,87,1221,101,0.845458984375,0.265625,0.5177725118483413,0.4627659574468085,dense1
1212,115,1123,87,0.85748291015625,0.2109375,0.5190578158458244,0.5693069306930693,dense1
1061,113,892,92,0.88079833984375,0.19921875,0.5432667690732207,0.551219512195122,dense1
1163,121,924,88,0.87261962890625,0.18359375,0.5572592237661715,0.5789473684210527,dense1
1084,106,1145,95,0.86395263671875,0.21484375,0.48631673396141767,0.527363184079602,dense1
368,86,467,86,0.94903564453125,0.328125,0.4407185628742515,0.5,dense1
1147,116,955,85,0.8717041015625,0.21484375,0.5456707897240723,0.5771144278606966,dense1
901,85,1055,103,0.880615234375,0.265625,0.4606339468302659,0.4521276595744681,dense1
1016,108,998,88,0.8770751953125,0.234375,0.5044687189672294,0.5510204081632653,dense1
1073,99,1002,101,0.87335205078125,0.21875,0.5171084337349398,0.495,dense1
1006,110,722,107,0.89453125,0.15234375,0.5821759259259259,0.5069124423963134,dense1
473,80,603,98,0.934326171875,0.3046875,0.4395910780669145,0.449438202247191,dense1
960,93,1011,107,0.87969970703125,0.21875,0.487062404870624,0.465,dense1
667,100,749,84,0.91357421875,0.28125,0.471045197740113,0.5434782608695652,dense1
254,95,474,82,0.95556640625,0.30859375,0.3489010989010989,0.536723163841808,dense1
1085,114,897,83,0.8790283203125,0.23046875,0.5474268415741675,0.5786802030456852,dense1
1141,104,1098,116,0.86334228515625,0.140625,0.5096025011165699,0.4727272727272727,dense1
1238,115,1050,94,0.8603515625,0.18359375,0.541083916083916,0.5502392344497608,dense1
1167,108,1170,101,0.85736083984375,0.18359375,0.4993581514762516,0.5167464114832536,dense1
1205,117,1145,94,0.8565673828125,0.17578125,0.5127659574468085,0.5545023696682464,dense1
277,103,256,103,0.96746826171875,0.1953125,0.5196998123827392,0.5,dense1
1250,112,794,84,0.875244140625,0.234375,0.6115459882583171,0.5714285714285714,dense1
1173,91,1133,105,0.8592529296875,0.234375,0.5086730268863834,0.4642857142857143,dense1
1140,113,1032,95,0.867431640625,0.1875,0.5248618784530387,0.5432692307692307,dense1
1152,102,1296,87,0.8505859375,0.26171875,0.47058823529411764,0.5396825396825397,dense1
493,86,564,81,0.93548583984375,0.34765625,0.4664143803216651,0.5149700598802395,dense1
736,92,726,89,0.9107666015625,0.29296875,0.5034199726402189,0.5082872928176796,dense1
979,103,927,96,0.8836669921875,0.22265625,0.5136411332633788,0.5175879396984925,dense1
1079,112,1090,86,0.86761474609375,0.2265625,0.4974642692485016,0.5656565656565656,dense1
261,93,503,106,0.953369140625,0.22265625,0.3416230366492147,0.46733668341708545,dense1
969,110,846,94,0.88922119140625,0.203125,0.5338842975206611,0.5392156862745098,dense1
1327,128,600,99,0.88238525390625,0.11328125,0.6886351842241827,0.5638766519823789,dense1
1049,101,943,97,0.87841796875,0.2265625,0.5266064257028112,0.51010101010101,dense1
1227,94,1256,105,0.84844970703125,0.22265625,0.4941602899718083,0.4723618090452261,dense1
1164,124,637,92,0.89007568359375,0.15625,0.6463076068850638,0.5740740740740741,dense1
1078,108,1125,90,0.86553955078125,0.2265625,0.4893327280980481,0.5454545454545454,dense1
361,81,463,103,0.94970703125,0.28125,0.4381067961165049,0.44021739130434784,dense1
1058,91,979,105,0.87567138671875,0.234375,0.5193912616593029,0.4642857142857143,dense1
309,89,420,100,0.95550537109375,0.26171875,0.42386831275720166,0.4708994708994709,dense1
613,108,480,95,0.93328857421875,0.20703125,0.5608417200365965,0.5320197044334976,dense1
989,107,889,100,0.8853759765625,0.19140625,0.5266240681576145,0.5169082125603864,dense1
478,103,564,81,0.9364013671875,0.28125,0.45873320537428025,0.5597826086956522,dense1
232,112,311,96,0.96685791015625,0.1875,0.427255985267035,0.5384615384615384,dense1
484,82,529,94,0.93817138671875,0.3125,0.4777887462981244,0.4659090909090909,dense1
1158,101,1044,93,0.8656005859375,0.2421875,0.5258855585831063,0.520618556701031,dense1
