pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
3277,106,3216,115,0.60369873046875,0.13671875,0.5046973663945787,0.4796380090497738,dense1
2663,116,2646,111,0.67596435546875,0.11328125,0.5016010548125824,0.5110132158590308,dense1
1605,113,3366,112,0.69659423828125,0.12109375,0.3228726614363307,0.5022222222222222,dense1
1687,128,3517,96,0.682373046875,0.125,0.324173712528824,0.5714285714285714,dense1
3252,106,2887,115,0.62530517578125,0.13671875,0.529727968724548,0.4796380090497738,dense1
2155,108,2576,122,0.71124267578125,0.1015625,0.4555062354681885,0.46956521739130436,dense1
3192,115,2996,108,0.622314453125,0.12890625,0.5158371040723982,0.515695067264574,dense1
1846,104,2613,123,0.72784423828125,0.11328125,0.4139941690962099,0.4581497797356828,dense1
2337,115,2665,102,0.6947021484375,0.15234375,0.4672131147540984,0.5299539170506913,dense1
3132,114,2971,111,0.62750244140625,0.12109375,0.5131902343109946,0.5066666666666667,dense1
3077,117,2919,110,0.634033203125,0.11328125,0.5131754503002002,0.5154185022026432,dense1
2504,98,2693,123,0.68280029296875,0.13671875,0.48181643255724454,0.4434389140271493,dense1
3400,112,3521,110,0.57757568359375,0.1328125,0.49125848865770844,0.5045045045045045,dense1
1565,125,3345,103,0.7003173828125,0.109375,0.31873727087576376,0.5482456140350878,dense1
2349,121,2529,108,0.7022705078125,0.10546875,0.48154981549815495,0.5283842794759825,dense1
1732,109,2735,97,0.72735595703125,0.1953125,0.38773225878665774,0.529126213592233,dense1
3246,109,2908,107,0.6243896484375,0.15625,0.5274618134546636,0.5046296296296297,dense1
3153,119,2996,101,0.62469482421875,0.140625,0.5127663034639779,0.5409090909090909,dense1
2781,99,2937,120,0.6510009765625,0.14453125,0.4863588667366212,0.4520547945205479,dense1
2974,115,2875,107,0.64300537109375,0.1328125,0.5084629851256625,0.5180180180180181,dense1
3162,111,2898,117,0.630126953125,0.109375,0.5217821782178218,0.4868421052631579,dense1
1676,92,3051,137,0.71148681640625,0.10546875,0.3545589168605881,0.4017467248908297,dense1
1993,116,3107,114,0.688720703125,0.1015625,0.3907843137254902,0.5043478260869565,dense1
3209,114,2918,105,0.62603759765625,0.14453125,0.5237473478047985,0.5205479452054794,dense1
1693,96,2710,118,0.73126220703125,0.1640625,0.3845105609811492,0.4485981308411215,dense1
2392,103,2482,115,0.7025146484375,0.1484375,0.4907673368896184,0.4724770642201835,dense1
3053,109,2976,104,0.63201904296875,0.16796875,0.5063858019572068,0.5117370892018779,dense1
1792,105,3485,114,0.67791748046875,0.14453125,0.33958688648853513,0.4794520547945205,dense1
3231,109,3169,114,0.609375,0.12890625,0.50484375,0.48878923766816146,dense1
2498,129,2621,98,0.68756103515625,0.11328125,0.48798593475288143,0.5682819383259912,dense1
3321,124,2680,102,0.63372802734375,0.1171875,0.553407765372438,0.5486725663716814,dense1
3438,129,2334,100,0.647705078125,0.10546875,0.5956340956340956,0.5633187772925764,dense1
1619,109,2049,102,0.776123046875,0.17578125,0.44138495092693564,0.5165876777251185,dense1
3286,95,3044,109,0.6136474609375,0.203125,0.5191153238546603,0.46568627450980393,dense1
3008,103,2903,111,0.63922119140625,0.1640625,0.5088817458974793,0.48130841121495327,dense1
2212,113,2624,108,0.704833984375,0.13671875,0.4574028122415219,0.5113122171945701,dense1
3139,105,3315,107,0.6060791015625,0.171875,0.4863650449333746,0.49528301886792453,dense1
3200,117,2958,105,0.6241455078125,0.1328125,0.5196492367651835,0.527027027027027,dense1
3431,98,3527,111,0.5753173828125,0.18359375,0.4931014659384881,0.4688995215311005,dense1
3231,115,2854,104,0.62860107421875,0.14453125,0.5309778142974527,0.5251141552511416,dense1
1981,116,1989,103,0.7576904296875,0.14453125,0.49899244332493703,0.5296803652968036,dense1
3083,113,2965,116,0.630859375,0.10546875,0.509755291005291,0.49344978165938863,dense1
1896,102,3080,128,0.6962890625,0.1015625,0.38102893890675243,0.4434782608695652,dense1
3174,111,2903,109,0.62908935546875,0.140625,0.5222971861115682,0.5045454545454545,dense1
2994,104,3026,108,0.632568359375,0.171875,0.4973421926910299,0.49056603773584906,dense1
1991,113,2744,112,0.71099853515625,0.12109375,0.4204857444561774,0.5022222222222222,dense1
3112,108,2855,104,0.63580322265625,0.171875,0.5215351097704038,0.5094339622641509,dense1
1620,96,2550,108,0.7454833984375,0.203125,0.38848920863309355,0.47058823529411764,dense1
3088,122,2969,105,0.63031005859375,0.11328125,0.5098233448902096,0.5374449339207048,dense1
2371,116,2660,113,0.69293212890625,0.10546875,0.4712780759292387,0.5065502183406113,dense1
3278,116,3193,104,0.60504150390625,0.140625,0.5065677638695719,0.5272727272727272,dense1
2354,126,2643,96,0.69500732421875,0.1328125,0.4710826495897539,0.5675675675675675,dense1
3192,113,3154,101,0.6126708984375,0.1640625,0.5029940119760479,0.5280373831775701,dense1
2658,93,2811,107,0.66619873046875,0.21875,0.48601206801974767,0.465,dense1
3221,124,2770,102,0.63433837890625,0.1171875,0.5376397930228677,0.5486725663716814,dense1
2906,113,2803,103,0.65155029296875,0.15625,0.5090208442809598,0.5231481481481481,dense1
2346,115,2644,109,0.6954345703125,0.125,0.4701402805611222,0.5133928571428571,dense1
3133,119,2975,102,0.627197265625,0.13671875,0.5129338572364113,0.5384615384615384,dense1
3354,132,3263,92,0.59613037109375,0.125,0.5068762278978389,0.5892857142857143,dense1
1416,92,2471,125,0.76275634765625,0.15234375,0.36429122716748136,0.423963133640553,dense1
3130,130,2699,96,0.64422607421875,0.1171875,0.5369703208097444,0.5752212389380531,dense1
3063,106,2912,117,0.63531494140625,0.12890625,0.5126359832635983,0.47533632286995514,dense1
3177,105,3139,98,0.614501953125,0.20703125,0.5030082330588981,0.5172413793103449,dense1
3239,110,2908,112,0.62481689453125,0.1328125,0.5269237026191638,0.4954954954954955,dense1
2596,111,2664,105,0.678955078125,0.15625,0.4935361216730038,0.5138888888888888,dense1
2670,113,2608,107,0.6778564453125,0.140625,0.5058734369079196,0.5136363636363637,dense1
3509,127,2582,89,0.62823486328125,0.15625,0.5760958791659826,0.5879629629629629,dense1
2993,111,2920,111,0.63909912109375,0.1328125,0.5061728395061729,0.5,dense1
3202,110,3020,106,0.6202392578125,0.15625,0.5146255223400836,0.5092592592592593,dense1
1300,103,2718,108,0.7547607421875,0.17578125,0.32354405176704826,0.4881516587677725,dense1
3046,120,2939,98,0.63470458984375,0.1484375,0.5089390142021721,0.5504587155963303,dense1
2977,105,3055,115,0.6318359375,0.140625,0.49353448275862066,0.4772727272727273,dense1
3278,116,2878,110,0.624267578125,0.1171875,0.532488628979857,0.5132743362831859,dense1
3130,112,2903,108,0.63177490234375,0.140625,0.5188131940991215,0.509090909090909,dense1
3085,107,2931,114,0.6328125,0.13671875,0.5127992021276596,0.4841628959276018,dense1
3165,105,2828,112,0.63421630859375,0.15234375,0.5281161354914067,0.4838709677419355,dense1
3256,106,3073,112,0.61370849609375,0.1484375,0.5144572602306842,0.48623853211009177,dense1
1390,93,2389,115,0.76934814453125,0.1875,0.3678221751786187,0.44711538461538464,dense1
1804,105,3249,118,0.69158935546875,0.12890625,0.3570156342766673,0.47085201793721976,dense1
1869,121,2143,97,0.755126953125,0.1484375,0.46585244267198406,0.555045871559633,dense1
3356,110,2599,110,0.63653564453125,0.140625,0.5635600335852226,0.5,dense1
1560,95,2142,108,0.7740478515625,0.20703125,0.4213938411669368,0.46798029556650245,dense1
2683,118,2892,97,0.65972900390625,0.16015625,0.4812556053811659,0.5488372093023256,dense1
