no_incomming,no_outgoing,no_total_conncetions,layer,model
10,0,0,dense1,WT_CIFAR_IMP94_0
0,0,0,dense2,WT_CIFAR_IMP94_0
13,0,0,dense1,WT_CIFAR_IMP94_1
0,0,0,dense2,WT_CIFAR_IMP94_1
8,0,0,dense1,WT_CIFAR_IMP94_2
0,0,0,dense2,WT_CIFAR_IMP94_2
12,0,0,dense1,WT_CIFAR_IMP94_3
0,0,0,dense2,WT_CIFAR_IMP94_3
3,0,0,dense1,WT_CIFAR_IMP94_4
0,0,0,dense2,WT_CIFAR_IMP94_4
15,0,0,dense1,WT_CIFAR_IMP94_5
0,0,0,dense2,WT_CIFAR_IMP94_5
10,0,0,dense1,WT_CIFAR_IMP94_6
0,0,0,dense2,WT_CIFAR_IMP94_6
3,0,0,dense1,WT_CIFAR_IMP94_7
0,0,0,dense2,WT_CIFAR_IMP94_7
21,0,0,dense1,WT_CIFAR_IMP94_8
0,0,0,dense2,WT_CIFAR_IMP94_8
23,0,0,dense1,WT_CIFAR_IMP94_9
0,0,0,dense2,WT_CIFAR_IMP94_9
