no_incomming,no_outgoing,no_total_conncetions,layer,model
10,0,0,dense1,WT_CIFAR_IMP97_0
0,0,0,dense2,WT_CIFAR_IMP97_0
13,0,0,dense1,WT_CIFAR_IMP97_1
0,0,0,dense2,WT_CIFAR_IMP97_1
8,0,0,dense1,WT_CIFAR_IMP97_2
0,0,0,dense2,WT_CIFAR_IMP97_2
12,0,0,dense1,WT_CIFAR_IMP97_3
0,0,0,dense2,WT_CIFAR_IMP97_3
6,0,0,dense1,WT_CIFAR_IMP97_4
0,0,0,dense2,WT_CIFAR_IMP97_4
15,0,0,dense1,WT_CIFAR_IMP97_5
0,0,0,dense2,WT_CIFAR_IMP97_5
13,0,0,dense1,WT_CIFAR_IMP97_6
0,0,0,dense2,WT_CIFAR_IMP97_6
3,0,0,dense1,WT_CIFAR_IMP97_7
0,0,0,dense2,WT_CIFAR_IMP97_7
21,0,0,dense1,WT_CIFAR_IMP97_8
0,0,0,dense2,WT_CIFAR_IMP97_8
23,0,0,dense1,WT_CIFAR_IMP97_9
0,0,0,dense2,WT_CIFAR_IMP97_9
