no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,WT_CIFAR_IMP30_0
0,0,0,dense2,WT_CIFAR_IMP30_0
0,0,0,dense1,WT_CIFAR_IMP30_1
0,0,0,dense2,WT_CIFAR_IMP30_1
0,0,0,dense1,WT_CIFAR_IMP30_2
0,0,0,dense2,WT_CIFAR_IMP30_2
0,0,0,dense1,WT_CIFAR_IMP30_3
0,0,0,dense2,WT_CIFAR_IMP30_3
0,0,0,dense1,WT_CIFAR_IMP30_4
0,0,0,dense2,WT_CIFAR_IMP30_4
0,0,0,dense1,WT_CIFAR_IMP30_5
0,0,0,dense2,WT_CIFAR_IMP30_5
0,0,0,dense1,WT_CIFAR_IMP30_6
0,0,0,dense2,WT_CIFAR_IMP30_6
0,0,0,dense1,WT_CIFAR_IMP30_7
0,0,0,dense2,WT_CIFAR_IMP30_7
0,0,0,dense1,WT_CIFAR_IMP30_8
0,0,0,dense2,WT_CIFAR_IMP30_8
0,0,0,dense1,WT_CIFAR_IMP30_9
0,0,0,dense2,WT_CIFAR_IMP30_9
