no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,WT_CIFAR_IMP83_0
0,0,0,dense2,WT_CIFAR_IMP83_0
0,0,0,dense1,WT_CIFAR_IMP83_1
0,0,0,dense2,WT_CIFAR_IMP83_1
0,0,0,dense1,WT_CIFAR_IMP83_2
0,0,0,dense2,WT_CIFAR_IMP83_2
0,0,0,dense1,WT_CIFAR_IMP83_3
0,0,0,dense2,WT_CIFAR_IMP83_3
0,0,0,dense1,WT_CIFAR_IMP83_4
0,0,0,dense2,WT_CIFAR_IMP83_4
0,0,0,dense1,WT_CIFAR_IMP83_5
0,0,0,dense2,WT_CIFAR_IMP83_5
0,0,0,dense1,WT_CIFAR_IMP83_6
0,0,0,dense2,WT_CIFAR_IMP83_6
0,0,0,dense1,WT_CIFAR_IMP83_7
0,0,0,dense2,WT_CIFAR_IMP83_7
0,0,0,dense1,WT_CIFAR_IMP83_8
0,0,0,dense2,WT_CIFAR_IMP83_8
0,0,0,dense1,WT_CIFAR_IMP83_9
0,0,0,dense2,WT_CIFAR_IMP83_9
