,variable,hypothesis,accepted_jsd,p-value_jsd,accepted_wsd,p-value_wsd,accepted_hd,p-value_hd,accepted_tv,p-value_tv,accepted_chi2,p-value_chi2,accepted_hc,p-value_hc,accepted_hi,p-value_hi
0,prune_rate_in,H1,True,6.946981479677745e-83,True,0.0,True,1.786249290502508e-76,True,0.0,True,3.432007337556765e-88,False,1.0,True,4.921996593648329e-107
1,prune_rate_in,H2,True,1.4619499992100465e-192,True,1.3028675748368824e-114,True,1.6823056614079968e-150,True,2.012335522764181e-16,True,3.5762218327239545e-181,True,1.089968067487772e-122,True,2.586768299997742e-155
2,prune_rate_in,H3,True,1.2151627574159695e-26,True,7.603235129749468e-64,True,1.6673854696822314e-26,False,0.0646200526030879,True,9.438246306562152e-27,True,6.344330845133836e-11,True,6.2562520694233114e-30
3,prune_rate_in,H4,True,1.3411934489914025e-95,True,0.0,True,2.460496370311276e-79,True,0.0,True,1.5105741245893522e-113,False,1.0,True,6.131684661465196e-178
4,prune_rate_out,H1,True,7.245336327495913e-144,True,0.0,True,7.321040986115765e-174,True,2.572160854048368e-193,True,1.4088222120285898e-145,True,9.620016758739574e-16,True,3.600121508758552e-158
5,prune_rate_out,H2,True,1.4229877410727382e-211,True,8.956035692761846e-163,True,8.682330539577359e-214,True,1.2179854438456926e-43,True,4.768923306458621e-219,True,1.1486113785229481e-141,True,1.048550664469268e-204
6,prune_rate_out,H3,True,6.530115914156453e-167,True,1.581000168127921e-154,True,6.400165172098351e-171,True,2.3722022565754697e-39,True,6.2982066299448045e-168,True,7.877509989736613e-108,True,2.3170910106006458e-167
7,prune_rate_out,H4,True,1.3256978832172481e-08,True,0.0,True,5.4010013277623075e-08,True,1.2433476804988261e-154,True,3.843621250105684e-08,False,1.0,True,1.707400188170428e-09
8,sign_rate_in,H1,True,1.3216224926619211e-08,True,7.507418688251495e-102,True,8.584987254670707e-09,True,8.870454017612968e-05,True,1.964828565584049e-08,True,0.0014962840972037,True,1.9473908427474573e-08
9,sign_rate_in,H2,True,1.4477816014529437e-58,True,7.686100615055658e-189,True,3.595155229459341e-58,True,3.7398920376967843e-65,True,1.7704337323945064e-58,True,1.5352672391222004e-32,True,8.708418096303827e-58
10,sign_rate_in,H3,True,0.0003754531355189,True,1.3009320364210908e-112,True,0.000429129926706,True,9.550832396283392e-08,True,0.0003376632350506,True,0.0092595004272256,True,0.0002056267024376
11,sign_rate_in,H4,True,0.0002314941341932,True,0.0384387324385447,True,0.0001156522112486,False,0.9717302114096932,True,0.0004127222562486,False,0.1568711691766486,True,0.0009113658840299
12,sign_rate_out,H1,False,0.9999926193817542,True,5.833513519035058e-113,False,0.9999985326771808,True,0.0048170881221378,False,0.9999780135957708,False,1.0,False,0.8251997440720429
13,sign_rate_out,H2,True,4.3973923332522513e-97,True,8.20781245878842e-105,True,9.399230701370888e-91,True,0.0404822422339156,True,1.5879092087355089e-96,True,6.175112152083862e-28,True,7.592241969067436e-99
14,sign_rate_out,H3,True,8.054438305942768e-20,True,1.4017227164161917e-70,True,2.173300941677192e-19,False,0.2538663625011048,True,3.905509073485316e-20,True,0.0300611594625808,True,1.0576930420042983e-26
15,sign_rate_out,H4,False,1.0,True,5.2501279636964886e-14,False,1.0,True,0.0098409448374973,False,1.0,False,1.0,False,1.0
