pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
597,97,588,96,0.92767333984375,0.24609375,0.5037974683544304,0.5025906735751295,dense1
549,91,610,91,0.92926025390625,0.2890625,0.47368421052631576,0.5,dense1
605,104,590,79,0.92706298828125,0.28515625,0.5062761506276151,0.5683060109289617,dense1
632,99,581,98,0.92596435546875,0.23046875,0.5210222588623248,0.5025380710659898,dense1
611,102,621,86,0.9248046875,0.265625,0.49594155844155846,0.5425531914893617,dense1
576,98,587,103,0.92901611328125,0.21484375,0.49527085124677556,0.48756218905472637,dense1
580,95,583,98,0.92901611328125,0.24609375,0.49871023215821153,0.49222797927461137,dense1
593,90,553,103,0.9300537109375,0.24609375,0.5174520069808028,0.46632124352331605,dense1
634,94,598,96,0.9248046875,0.2578125,0.5146103896103896,0.49473684210526314,dense1
600,91,607,89,0.92633056640625,0.296875,0.4971002485501243,0.5055555555555555,dense1
625,90,600,98,0.92523193359375,0.265625,0.5102040816326531,0.4787234042553192,dense1
628,97,569,92,0.92694091796875,0.26171875,0.5246449456975772,0.5132275132275133,dense1
548,82,592,108,0.930419921875,0.2578125,0.4807017543859649,0.43157894736842106,dense1
597,110,596,84,0.92718505859375,0.2421875,0.5004191114836547,0.5670103092783505,dense1
590,96,606,85,0.927001953125,0.29296875,0.49331103678929766,0.5303867403314917,dense1
602,112,589,87,0.92730712890625,0.22265625,0.5054575986565911,0.5628140703517588,dense1
578,97,619,94,0.92694091796875,0.25390625,0.4828738512949039,0.5078534031413613,dense1
601,98,591,96,0.92724609375,0.2421875,0.5041946308724832,0.5051546391752577,dense1
629,94,590,107,0.92559814453125,0.21484375,0.5159967186218212,0.46766169154228854,dense1
570,104,599,87,0.92864990234375,0.25390625,0.4875962360992301,0.5445026178010471,dense1
589,96,563,95,0.9296875,0.25390625,0.5112847222222222,0.5026178010471204,dense1
541,98,553,86,0.9332275390625,0.28125,0.4945155393053016,0.532608695652174,dense1
615,96,558,104,0.92840576171875,0.21875,0.5242966751918159,0.48,dense1
562,97,573,81,0.93072509765625,0.3046875,0.4951541850220264,0.5449438202247191,dense1
574,93,578,97,0.9296875,0.2578125,0.4982638888888889,0.48947368421052634,dense1
606,100,612,85,0.9256591796875,0.27734375,0.4975369458128079,0.5405405405405406,dense1
586,91,567,103,0.92962646484375,0.2421875,0.5082393755420642,0.4690721649484536,dense1
563,84,606,110,0.92864990234375,0.2421875,0.4816082121471343,0.4329896907216495,dense1
586,103,622,90,0.92626953125,0.24609375,0.48509933774834435,0.533678756476684,dense1
607,111,578,83,0.92767333984375,0.2421875,0.5122362869198313,0.5721649484536082,dense1
572,105,595,86,0.92877197265625,0.25390625,0.49014567266495285,0.5497382198952879,dense1
600,97,583,101,0.92779541015625,0.2265625,0.5071851225697379,0.4898989898989899,dense1
566,101,635,93,0.92669677734375,0.2421875,0.47127393838467946,0.520618556701031,dense1
556,93,576,88,0.930908203125,0.29296875,0.4911660777385159,0.5138121546961326,dense1
600,80,638,109,0.9244384765625,0.26171875,0.48465266558966075,0.42328042328042326,dense1
577,96,597,98,0.9283447265625,0.2421875,0.49148211243611584,0.4948453608247423,dense1
586,93,559,93,0.93011474609375,0.2734375,0.5117903930131005,0.5,dense1
566,106,600,86,0.9288330078125,0.25,0.4854202401372213,0.5520833333333334,dense1
559,90,598,98,0.92938232421875,0.265625,0.48314606741573035,0.4787234042553192,dense1
595,92,595,96,0.9273681640625,0.265625,0.5,0.48936170212765956,dense1
604,95,588,84,0.92724609375,0.30078125,0.5067114093959731,0.5307262569832403,dense1
586,77,583,103,0.92864990234375,0.296875,0.5012831479897348,0.42777777777777776,dense1
615,85,594,107,0.92620849609375,0.25,0.5086848635235732,0.4427083333333333,dense1
583,108,543,88,0.9312744140625,0.234375,0.5177619893428064,0.5510204081632653,dense1
651,109,558,91,0.92620849609375,0.21875,0.5384615384615384,0.545,dense1
578,87,578,90,0.929443359375,0.30859375,0.5,0.4915254237288136,dense1
583,102,652,93,0.92462158203125,0.23828125,0.4720647773279352,0.5230769230769231,dense1
569,97,609,95,0.9281005859375,0.25,0.4830220713073005,0.5052083333333334,dense1
580,96,630,90,0.9261474609375,0.2734375,0.4793388429752066,0.5161290322580645,dense1
573,104,581,86,0.9295654296875,0.2578125,0.4965337954939341,0.5473684210526316,dense1
588,93,573,103,0.92913818359375,0.234375,0.5064599483204134,0.4744897959183674,dense1
590,108,597,86,0.92755126953125,0.2421875,0.4970513900589722,0.5567010309278351,dense1
604,89,604,107,0.92626953125,0.234375,0.5,0.45408163265306123,dense1
598,98,597,81,0.92706298828125,0.30078125,0.500418410041841,0.547486033519553,dense1
616,111,591,87,0.92633056640625,0.2265625,0.5103562551781275,0.5606060606060606,dense1
548,94,577,100,0.93133544921875,0.2421875,0.4871111111111111,0.4845360824742268,dense1
601,83,597,103,0.9268798828125,0.2734375,0.501669449081803,0.44623655913978494,dense1
555,98,587,83,0.9302978515625,0.29296875,0.4859894921190893,0.5414364640883977,dense1
598,97,582,90,0.927978515625,0.26953125,0.5067796610169492,0.5187165775401069,dense1
586,93,584,102,0.9285888671875,0.23828125,0.5008547008547009,0.47692307692307695,dense1
555,91,581,106,0.9306640625,0.23046875,0.488556338028169,0.4619289340101523,dense1
573,90,576,86,0.92987060546875,0.3125,0.49869451697127937,0.5113636363636364,dense1
573,94,568,103,0.93035888671875,0.23046875,0.5021910604732691,0.47715736040609136,dense1
570,77,584,99,0.9295654296875,0.3125,0.49393414211438474,0.4375,dense1
531,92,603,91,0.9307861328125,0.28515625,0.46825396825396826,0.5027322404371585,dense1
594,96,579,98,0.92840576171875,0.2421875,0.5063938618925832,0.4948453608247423,dense1
606,89,574,94,0.927978515625,0.28515625,0.5135593220338983,0.48633879781420764,dense1
599,71,574,110,0.92840576171875,0.29296875,0.5106564364876386,0.39226519337016574,dense1
586,106,609,82,0.92706298828125,0.265625,0.4903765690376569,0.5638297872340425,dense1
602,94,610,104,0.926025390625,0.2265625,0.4966996699669967,0.47474747474747475,dense1
543,83,557,98,0.932861328125,0.29296875,0.49363636363636365,0.4585635359116022,dense1
609,102,556,101,0.92889404296875,0.20703125,0.5227467811158798,0.5024630541871922,dense1
575,96,544,101,0.93170166015625,0.23046875,0.5138516532618409,0.4873096446700508,dense1
