,mean,std,layer,variable,distance_measure
RSN_CINIC,0.633825377333076,0.14897590244192624,dense2,prune_rate_in,kl_divergence
RSN_SVHN,0.20366126660029096,0.03964482662693288,dense2,prune_rate_in,kl_divergence
CIFAR_SVHN,0.1360683023657873,0.049374342162083806,dense2,prune_rate_in,kl_divergence
CINIC_CIFAR,0.4868849756021082,0.1120454375992501,dense2,prune_rate_in,kl_divergence
SVHN_CINIC,0.40964388190049206,0.11837475943358192,dense2,prune_rate_in,kl_divergence
within_WTs,0.15235008035928108,0.04115688047182956,dense2,prune_rate_in,kl_divergence
within_conditions,0.1422069433291001,0.043578761959157906,dense2,prune_rate_in,kl_divergence
between_WTs_and_RSN,0.3554226092723705,0.21780726605163472,dense2,prune_rate_in,kl_divergence
between_WT_datasets,0.34419905328946254,0.17978255098858986,dense2,prune_rate_in,kl_divergence
CIFAR,0.020851258799366175,0.013164880753365934,dense2,prune_rate_out,kl_divergence
CINIC,0.017663748857215944,0.009979979878707013,dense2,prune_rate_out,kl_divergence
SVHN,0.023015505958834486,0.014977886056456122,dense2,prune_rate_out,kl_divergence
RSN,0.009095263853804079,0.011434446734371734,dense2,prune_rate_out,kl_divergence
RSN_CIFAR,0.01701775553758449,0.013622983613807508,dense2,prune_rate_out,kl_divergence
RSN_CINIC,0.0395983273351939,0.015216837852880423,dense2,prune_rate_out,kl_divergence
RSN_SVHN,0.035225746912552626,0.01458437991168121,dense2,prune_rate_out,kl_divergence
CIFAR_SVHN,0.038715363576398897,0.020111560911468228,dense2,prune_rate_out,kl_divergence
CINIC_CIFAR,0.04030797941490052,0.02358243403653695,dense2,prune_rate_out,kl_divergence
SVHN_CINIC,0.02032011821236227,0.012087545059214775,dense2,prune_rate_out,kl_divergence
within_WTs,0.020510171205138872,0.013060708473735135,dense2,prune_rate_out,kl_divergence
within_conditions,0.017656444367305173,0.013603473563841539,dense2,prune_rate_out,kl_divergence
between_WTs_and_RSN,0.03061394326177701,0.01748033356770431,dense2,prune_rate_out,kl_divergence
between_WT_datasets,0.03311448706788723,0.021240894889836322,dense2,prune_rate_out,kl_divergence
CIFAR,0.04737809462514728,0.032163334681127205,dense2,sign_rate_in,kl_divergence
CINIC,0.04103884550958107,0.026447169401738347,dense2,sign_rate_in,kl_divergence
SVHN,0.06029574173154212,0.029270294720744244,dense2,sign_rate_in,kl_divergence
RSN,0.06368120230989137,0.02896103895721362,dense2,sign_rate_in,kl_divergence
RSN_CIFAR,0.05858077651253999,0.03264411911286768,dense2,sign_rate_in,kl_divergence
RSN_CINIC,0.03790314743147656,0.028767673243447634,dense2,sign_rate_in,kl_divergence
RSN_SVHN,0.04824660724763825,0.03143888196828977,dense2,sign_rate_in,kl_divergence
CIFAR_SVHN,0.03283386566732689,0.027133842447926524,dense2,sign_rate_in,kl_divergence
CINIC_CIFAR,0.03710143980489465,0.02615715195937374,dense2,sign_rate_in,kl_divergence
SVHN_CINIC,0.03787620481838345,0.02825283994984579,dense2,sign_rate_in,kl_divergence
within_WTs,0.04957089395542348,0.0304593149387816,dense2,sign_rate_in,kl_divergence
within_conditions,0.05309847104404045,0.030705768914385295,dense2,sign_rate_in,kl_divergence
between_WTs_and_RSN,0.04824351039721826,0.03212165947615236,dense2,sign_rate_in,kl_divergence
between_WT_datasets,0.03593717009686833,0.027284982730633782,dense2,sign_rate_in,kl_divergence
CIFAR,0.09024645416227138,0.02824440322466395,dense2,sign_rate_out,kl_divergence
CINIC,0.06679541074185605,0.026345401833586905,dense2,sign_rate_out,kl_divergence
SVHN,0.07234658457103753,0.03532281696683476,dense2,sign_rate_out,kl_divergence
RSN,0.08721471660945411,0.028164508295291987,dense2,sign_rate_out,kl_divergence
RSN_CIFAR,0.08301081994294422,0.03599840432520316,dense2,sign_rate_out,kl_divergence
RSN_CINIC,0.081782209924422,0.031190249523500784,dense2,sign_rate_out,kl_divergence
RSN_SVHN,0.07329692674794452,0.036300510624030106,dense2,sign_rate_out,kl_divergence
CIFAR_SVHN,0.08858067929648435,0.03231562211011437,dense2,sign_rate_out,kl_divergence
CINIC_CIFAR,0.0821810023530759,0.03440856542646998,dense2,sign_rate_out,kl_divergence
SVHN_CINIC,0.07766265760846319,0.02696389461243246,dense2,sign_rate_out,kl_divergence
within_WTs,0.07646281649172167,0.03183247124323146,dense2,sign_rate_out,kl_divergence
within_conditions,0.07915079152115477,0.0313043955419016,dense2,sign_rate_out,kl_divergence
between_WTs_and_RSN,0.07936331887177026,0.03484441735416258,dense2,sign_rate_out,kl_divergence
between_WT_datasets,0.08280811308600781,0.0317043210532299,dense2,sign_rate_out,kl_divergence
CIFAR,0.567215971433297,0.014836231249073172,dense1,prune_rate_in,js_divergence
CINIC,0.5289805663202519,0.014010158107950801,dense1,prune_rate_in,js_divergence
SVHN,0.5524458298821933,0.018576781195414165,dense1,prune_rate_in,js_divergence
RSN,0.17028410251149753,0.016910860917074184,dense1,prune_rate_in,js_divergence
RSN_CIFAR,0.6434105421318822,0.017603479114075126,dense1,prune_rate_in,js_divergence
RSN_CINIC,0.6636000689046927,0.012231644467579943,dense1,prune_rate_in,js_divergence
RSN_SVHN,0.6613978924212113,0.011489433867368814,dense1,prune_rate_in,js_divergence
CIFAR_SVHN,0.5823505720050696,0.020690379735194105,dense1,prune_rate_in,js_divergence
CINIC_CIFAR,0.6013685424988051,0.020415353422473408,dense1,prune_rate_in,js_divergence
SVHN_CINIC,0.5489726573620938,0.016987795046887397,dense1,prune_rate_in,js_divergence
within_WTs,0.5495474558785807,0.022398430356795174,dense1,prune_rate_in,js_divergence
within_conditions,0.45473161753681,0.1655834870010707,dense1,prune_rate_in,js_divergence
between_WTs_and_RSN,0.656136167819262,0.01670169460692288,dense1,prune_rate_in,js_divergence
between_WT_datasets,0.5775639239553227,0.029100378224712828,dense1,prune_rate_in,js_divergence
CIFAR,0.07037755242308318,0.012536107058184134,dense1,prune_rate_out,js_divergence
CINIC,0.07203240501144642,0.008302558992096167,dense1,prune_rate_out,js_divergence
SVHN,0.06742654456075832,0.011234324207213828,dense1,prune_rate_out,js_divergence
